source_row_number,legajo_canonico,row_kind,raw_ubicacion,ncp,ncp_formatted,sec,gru,nmanz,nparc,lon,lat,geolocation_source,location_verification_status,zonificacion,fecha_de_visado,tipo,destino_uso,relevamiento_o_existente,a_contruir_obra_nueva,ampliacion_de_obra_existente,proyectado_no_iniciado,m_existentes_relevados_vivienda,m_existentes_relevados_local,m_a_construir_vivienda,m_a_construir_local
132,123,detail,9 de Julio Nº 182,0100010000000119--004--,0100010000000119--004--,0,0,119,4,-58.14326860,-32.22043365,automatic,verified_close,Urbana,2025-09-22,Templo religioso,templo religioso,,,1,,,,,"16,85"
133,124,detail,Servidumbre de paso,,,,,,,,,automatic,missing_both_points,Periurbana,2025-09-10,Vivienda multifamiliar,vivienda,2,,,,"24,11",,,
134,125,detail,Presbitero Cot Nº 262,0100010000000302--019--,0100010000000302--019--,0,0,302,19,-58.14009806,-32.22834799,admin_override,missing_address_point,Urbana,2025-09-17,Vivienda unifamiliar,vivienda,1,,,,"101,285",,,
135,126,detail,Brown Nº 22,0100010000000225--010--,0100010000000225--010--,0,0,225,10,-58.13419005,-32.21868700,automatic,verified_close,Centro,2025-09-19,Apart Hotel,turistico,,1,,,,,"663,76",
136,126,detail_continuation,Brown Nº 38,,,,,,,,,automatic,missing_cadastral_point,Centro,,,sin destino,,,,,"1466,8",,,
137,127,detail,Calle Pública s/Nº,0100010151110008--003--,0100010151110008--003--,15,111,8,3,-58.20569420,-32.26856600,automatic,missing_address_point,Periurbana,2025-09-19,Vivienda unifamiliar,vivienda,1,,,,"159,4",,,
138,128,detail,Noailles Nº 345,0100010000000141--011--,0100010000000141--011--,0,0,141,11,-58.13792040,-32.22376655,automatic,verified_close,Centro,2025-09-19,Vivienda unifamiliar,vivienda,,1,,,,,,
139,129,detail,Avda Urquiza Nº,0100010000000051--014--,0100010000000051--014--,0,0,51,14,-58.14398260,-32.22651420,automatic,missing_address_point,Urbana,2025-09-19,Vivienda unifamiliar,vivienda,,,1,,,,"164,22",
140,130,detail,"Bvard. Gaillard Nº 987, 989",0100011010620461--019--,0100011010620461--019--,101,62,461,19,-58.15524790,-32.22452135,automatic,verified_nearby,Urbana,2025-09-19,Vivienda multifamiliar / Local comercial,vivienda,,4,,,,,"317,64","120,04"
141,131,detail,Gouchón Nº 18,0100010000000228--026--,0100010000000228--026--,0,0,228,26,-58.13607535,-32.21619515,automatic,verified_close,Urbana,2025-09-22,Vivienda unifamiliar / Local comercial,vivienda,2,,,,"121,96","68,28",,
142,132,detail,Artigas N| 168,0100010000000112--018--,0100010000000112--018--,0,0,112,18,-58.13923900,-32.22528380,automatic,verified_close,Urbana,2025-09-23,Local Comercial,comercial,1,,,,,"2,98",,
143,133,detail,Salta Nº 34,0100010000000036--021--,0100010000000036--021--,0,0,36,21,-58.14572655,-32.22585200,automatic,verified_close,Urbana,2025-09-23,Vivienda unifamiliar,vivienda,1,,,,"116,7","94,3",,
144,134,detail,Pasaje 29 de Octubre s/Nº,0100010000000229--001--,0100010000000229--001--,0,0,229,1,-58.13663865,-32.21549380,automatic,missing_address_point,Urbana,,Administración / Bar / Deposito,productivo,,4,,,,,,
145,135,detail,M. Moreno Nº 1174,0100010000000341--015--,0100010000000341--015--,0,0,341,15,-58.15219380,-32.23331250,automatic,missing_address_point,Urbana,2025-09-25,Galpón / Depósito,galpón / depósito,1,,,,,"199,2",,
146,136,detail,Alberti s/Nº,0100010063310000--017--,0100010063310000--017--,6,331,0,17,-58.17189285,-32.21292585,automatic,missing_address_point,Periurbana,2025-09-25,Vivienda multifamiliar,vivienda,2,,,,"203,6",,,
147,137,detail,"Rocamora Nº 1187,  1191, 1193, 1195",0100011010340352--013--,0100011010340352--013--,101,34,352,13,-58.15948485,-32.22631500,automatic,missing_address_point,Urbana,2025-09-25,Vivienda multifamiliar,vivienda,,4,,,,,"337,58",
148,138,detail,San Martín Nª 779,0100010000000020--009--,0100010000000020--009--,0,0,20,9,-58.14738390,-32.22629615,automatic,verified_close,Centro,2025-09-26,Vivienda unifamiliar / Local comercial,vivienda,3,,,,"51,27",,,
149,139,detail,Vergniaud Nº 22,0100010000000427--021--,0100010000000427--021--,0,0,427,21,-58.15078880,-32.22974275,automatic,missing_address_point,Urbana,2025-09-26,Vivienda unifamiliar,vivienda,1,,,,"85,07",,,
